,pfa,h_est_c,h_est_n,cr,br
0,0.0,4.247927513443586,3.423766335194136,5,2
1,0.001,4.396815329696127,3.894288980547241,5,2
2,0.002,4.535246609500582,4.195227942561278,5,2
3,0.003,4.665200680713817,4.430981916528816,5,2
4,0.004,4.785951066955796,4.625389394773642,5,2
5,0.005,4.8975938203296465,4.790109432278903,5,2
6,0.006,5.000575171157423,4.932130352753208,5,2
7,0.007,5.095480966543018,5.05611454000065,5,2
8,0.008,5.182937552843621,5.16538702589274,5,2
9,0.009000000000000001,5.263563694274751,5.262429314945644,5,2
10,0.01,5.3379475439811515,5.349155276734134,5,2
11,0.011,5.406636474851627,5.427078130949219,5,2
12,0.012,5.470133666843262,5.4974177900102354,5,2
13,0.013000000000000001,5.528898251712736,5.561173176946577,5,2
14,0.014,5.583347284094286,5.619172809775482,5,2
15,0.015,5.6338585834806185,5.672111284216053,5,2
16,0.016,5.680773915445819,5.720576262904888,5,2
17,0.017,5.724402217889153,5.7650688725138535,5,2
18,0.018000000000000002,5.765022713500015,5.806019401414142,5,2
19,0.019,5.802887827708251,5.843799570552983,5,2
20,0.02,5.838225876512782,5.878732256127833,5,2
