,pfa,h_est_c,h_est_n,cr,br
0,0.0,2.8073549220576046,1.8284093021352301,10,1
1,0.0001,2.9877468347802307,2.2008088355439357,10,1
2,0.0002,3.152444772303988,2.4923112852654343,10,1
3,0.00030000000000000003,3.3073908375564747,2.7470152864026867,10,1
4,0.0004,3.4535951306282358,2.9755817131138267,10,1
5,0.0005,3.5918274126298604,3.183589048273773,10,1
6,0.0006000000000000001,3.722745546462356,3.3746109193782057,10,1
7,0.0007,3.846928966884651,3.55118638852878,10,1
8,0.0008,3.96489420675261,3.7152360505918294,10,1
9,0.0009000000000000001,4.077104725944405,3.8682743659410246,10,1
10,0.001,4.1839781855184155,4.011531187736179,10,1
11,0.002,5.02761170173373,5.072358928554646,10,1
12,0.003,5.601404272215972,5.736188348501032,10,1
13,0.004,6.017931144696944,6.193036302554432,10,1
14,0.005,6.334469509456571,6.526727111155639,10,1
15,0.006,6.583306310559265,6.7808618389594,10,1
16,0.007,6.7840682206347065,6.98053670263626,10,1
17,0.008,6.949398744096635,7.141269818192565,10,1
18,0.009000000000000001,7.0878266624355835,7.273191566989747,10,1
19,0.01,7.205324558701342,7.383204117105239,10,1
20,0.011,7.306206633198652,7.476176060918593,10,1
21,0.012,7.3936714585588295,7.555641548591453,10,1
22,0.013000000000000001,7.470143653541587,7.624228741859902,10,1
23,0.014,7.537496533965008,7.683932716316668,10,1
24,0.015,7.59720159887915,7.736295089342298,10,1
25,0.016,7.650431544788324,7.782525649261352,10,1
26,0.017,7.698132903883962,7.823586769254247,10,1
27,0.018000000000000002,7.74107831771136,7.860253276503695,10,1
28,0.019,7.77990484634225,7.893155735810448,10,1
29,0.02,7.815142505834364,7.922812281725578,10,1
