,pfa,h_est_c,h_est_n,cr,br
0,0.0,2.8073549220576037,1.8284093021352303,8,1
1,0.0001,2.9143467953246405,2.073414098741983,8,1
2,0.0002,3.012655630867722,2.269083408226238,8,1
3,0.00030000000000000003,3.106954495643076,2.443242738860733,8,1
4,0.0004,3.1976651244883176,2.6022886572100727,8,1
5,0.0005,3.2850403170777325,2.7494563774634138,8,1
6,0.0006000000000000001,3.369282019925575,2.8867661259962007,8,1
7,0.0007,3.450566674346513,3.0156270472167153,8,1
8,0.0008,3.529053769528001,3.1370917509255936,8,1
9,0.0009000000000000001,3.6048896782845166,3.2519838439412334,8,1
10,0.001,3.6782097899587307,3.3609695494054597,8,1
11,0.002,4.297032360942695,4.21653418480569,8,1
12,0.003,4.762807560841332,4.80284127884244,8,1
13,0.004,5.1266300736285775,5.233772104021859,8,1
14,0.005,5.418968184262962,5.564703978252553,8,1
15,0.006,5.659140593938705,5.826929652069248,8,1
16,0.007,5.86000724312815,6.03973066044276,8,1
17,0.008,6.030473828866705,6.215718968093583,8,1
18,0.009000000000000001,6.176912844914384,6.3635231966862635,8,1
19,0.01,6.3040113601349965,6.489260211515861,8,1
20,0.011,6.415298542490076,6.597393864106234,8,1
21,0.012,6.513485879963328,6.691261515542939,8,1
22,0.013000000000000001,6.600693481451122,6.773410120088397,8,1
23,0.014,6.67860470552988,6.845818087098655,8,1
24,0.015,6.748574345151761,6.910046000008344,8,1
25,0.016,6.811705922533509,6.967341576585859,8,1
26,0.017,6.868907958683517,7.018714367302577,8,1
27,0.018000000000000002,6.920935632590484,7.064989946596968,8,1
28,0.019,6.96842209674438,7.1068499042633935,8,1
29,0.02,7.011902344884857,7.144861813097437,8,1
