,pfa,h_est_c,h_est_n,cr,br
0,0.0021,5.9389980487427945,5.931477151425595,10,2
1,0.00211,5.944050506502961,5.937403489221178,10,2
2,0.00212,5.949085297696966,5.9433045365202375,10,2
3,0.00213,5.954102514885493,5.949180461530274,10,2
4,0.00214,5.959102249971936,5.95503143085155,10,2
5,0.00215,5.964084594207822,5.9608576094974435,10,2
6,0.00216,5.9690496381990705,5.966659160915526,10,2
7,0.00217,5.973997471911236,5.9724362470071855,10,2
8,0.00218,5.9789281846755955,5.978189028147952,10,2
9,0.00219,5.983841865194591,5.983917663206817,10,2
10,0.0022,5.988738601547187,5.9896223095651955,10,2
