,pfa,h_est_c,h_est_n,cr,br
0,0.0,2.807354922057604,1.82840930213523,6,1
1,0.0001,2.8611752409213715,1.9711011279694735,6,1
2,0.0002,2.9099185478585374,2.0869217338848722,6,1
3,0.00030000000000000003,2.9573170618548836,2.191581691629363,6,1
4,0.0004,3.0036188366217087,2.288558340750727,6,1
5,0.0005,3.0489182589488655,2.379559352511755,6,1
6,0.0006000000000000001,3.0932705261438405,2.465623757489137,6,1
7,0.0007,3.136716012200257,2.5474601853628425,6,1
8,0.0008,3.179288041014635,2.625587955856208,6,1
9,0.0009000000000000001,3.221015976430847,2.700406985873795,6,1
10,0.001,3.261926642163841,2.7722365870904304,6,1
11,0.002,3.631023656805901,3.3686599139587052,6,1
12,0.003,3.9399772173833254,3.816677248305255,6,1
13,0.004,4.202484050817148,4.170806442377133,6,1
14,0.005,4.428356967021116,4.459372512211832,6,1
15,0.006,4.624803441475167,4.699616026308828,6,1
16,0.007,4.797234024566975,4.902936394628171,6,1
17,0.008,4.9497906066621145,5.077282589181651,6,1
18,0.009000000000000001,5.085699746414841,5.228413200651242,6,1
19,0.01,5.207514377065176,5.360624099803432,6,1
20,0.011,5.317282704703299,5.477196289211799,6,1
21,0.012,5.416668568894758,5.580684966371553,6,1
22,0.013000000000000001,5.5070387686074795,5.673113185441021,6,1
23,0.014,5.589527467485186,5.756105596343181,6,1
24,0.015,5.665084410995703,5.830983171051249,6,1
25,0.016,5.734511522235897,5.898831762844748,6,1
26,0.017,5.798491028709837,5.9605526655973575,6,1
27,0.018000000000000002,5.857607331473285,6.016900518105549,6,1
28,0.019,5.9123641913025775,6.068512139725618,6,1
29,0.02,5.963198368742232,6.115928756375017,6,1
