,pfa,h_est_c,h_est_n,cr,br
0,0.0,2.8073549220576037,1.8284093021352303,7,1
1,0.001,3.4565886814600013,3.0562068439677783,7,1
2,0.002,3.9509915658664037,3.7871710896069883,7,1
3,0.003,4.343348882330748,4.311834397959889,7,1
4,0.004,4.662629729466574,4.7115360417351,7,1
5,0.005,4.927703317750454,5.027421397651945,7,1
6,0.006,5.151392237571616,5.283692131359086,7,1
7,0.007,5.34272197829938,5.495810827683435,7,1
8,0.008,5.50823672220073,5.674218667698859,7,1
9,0.009000000000000001,5.652803099555975,5.826260523469173,7,1
10,0.01,5.780119898820888,5.95727148086234,7,1
11,0.011,5.89305198364236,6.071229155633375,7,1
12,0.012,5.99385534282443,6.171164327795321,7,1
13,0.013000000000000001,6.084332599747503,6.259429451139806,7,1
14,0.014,6.165942870434172,6.3378798423120575,7,1
15,0.015,6.239880916123453,6.407999251041992,7,1
16,0.016,6.307135189962393,6.470988909250111,7,1
17,0.017,6.368531090452798,6.5278319632978015,7,1
18,0.018000000000000002,6.424763661744166,6.579340929989542,7,1
19,0.019,6.476422643936673,6.626193206851339,7,1
20,0.02,6.524011896155352,6.668958023955107,7,1
