,pfa,h_est_c,h_est_n,cr,br
0,0.0,4.247927513443585,3.423766335194136,9,2
1,0.001,5.0357225039662215,4.806520066684181,9,2
2,0.002,5.579460498502012,5.521366872799044,9,2
3,0.003,5.978966903046673,5.99709701860134,9,2
4,0.004,6.284552025983791,6.33975346798428,9,2
5,0.005,6.525360605541946,6.59855644612195,9,2
6,0.006,6.719494703869367,6.8005709839942465,9,2
7,0.007,6.87884012256342,6.962187750726146,9,2
8,0.008,7.0115540095138815,7.094005170325007,9,2
9,0.009000000000000001,7.123437300391165,7.203215326362809,9,2
10,0.01,7.218736573132535,7.294884364198393,9,2
11,0.011,7.300635712045308,7.37268888643914,9,2
12,0.012,7.3715699770842935,7.439362999438678,9,2
13,0.013000000000000001,7.433433762126937,7.496981807802186,9,2
14,0.014,7.487722209909402,7.547147786639328,9,2
15,0.015,7.535630267284889,7.591117065954343,9,2
16,0.016,7.578123537919411,7.6298872294736135,9,2
17,0.017,7.6159899574915215,7.664259722576665,9,2
18,0.018000000000000002,7.649878128770391,7.694885074051141,9,2
19,0.019,7.680326189333986,7.722296222547955,9,2
20,0.02,7.7077838402151615,7.746933446678847,9,2
