,pfa,h_est_c,h_est_n,cr,br
0,0.0,2.8073549220576046,1.8284093021352301,10,1
1,0.001,4.1839781855184155,4.011531187736179,10,1
2,0.002,5.02761170173373,5.072358928554646,10,1
3,0.003,5.601404272215972,5.736188348501032,10,1
4,0.004,6.017931144696944,6.193036302554432,10,1
5,0.005,6.334469509456571,6.526727111155639,10,1
6,0.006,6.583306310559265,6.7808618389594,10,1
7,0.007,6.7840682206347065,6.98053670263626,10,1
8,0.008,6.949398744096635,7.141269818192565,10,1
9,0.009000000000000001,7.0878266624355835,7.273191566989747,10,1
10,0.01,7.205324558701342,7.383204117105239,10,1
11,0.011,7.306206633198652,7.476176060918593,10,1
12,0.012,7.3936714585588295,7.555641548591453,10,1
13,0.013000000000000001,7.470143653541587,7.624228741859902,10,1
14,0.014,7.537496533965008,7.683932716316668,10,1
15,0.015,7.59720159887915,7.736295089342298,10,1
16,0.016,7.650431544788324,7.782525649261352,10,1
17,0.017,7.698132903883962,7.823586769254247,10,1
18,0.018000000000000002,7.74107831771136,7.860253276503695,10,1
19,0.019,7.77990484634225,7.893155735810448,10,1
20,0.02,7.815142505834364,7.922812281725578,10,1
