,pfa,h_est_c,h_est_n,cr,br
0,0.0,2.8073549220576037,1.8284093021352303,8,1
1,0.001,3.6782097899587307,3.3609695494054597,8,1
2,0.002,4.297032360942695,4.21653418480569,8,1
3,0.003,4.762807560841332,4.80284127884244,8,1
4,0.004,5.1266300736285775,5.233772104021859,8,1
5,0.005,5.418968184262962,5.564703978252553,8,1
6,0.006,5.659140593938705,5.826929652069248,8,1
7,0.007,5.86000724312815,6.03973066044276,8,1
8,0.008,6.030473828866705,6.215718968093583,8,1
9,0.009000000000000001,6.176912844914384,6.3635231966862635,8,1
10,0.01,6.3040113601349965,6.489260211515861,8,1
11,0.011,6.415298542490076,6.597393864106234,8,1
12,0.012,6.513485879963328,6.691261515542939,8,1
13,0.013000000000000001,6.600693481451122,6.773410120088397,8,1
14,0.014,6.67860470552988,6.845818087098655,8,1
15,0.015,6.748574345151761,6.910046000008344,8,1
16,0.016,6.811705922533509,6.967341576585859,8,1
17,0.017,6.868907958683517,7.018714367302577,8,1
18,0.018000000000000002,6.920935632590484,7.064989946596968,8,1
19,0.019,6.96842209674438,7.1068499042633935,8,1
20,0.02,7.011902344884857,7.144861813097437,8,1
