,pfa,h_est_c,h_est_n,cr,br
0,0.0,4.247927513443585,3.423766335194136,6,2
1,0.0001,4.2799400439585735,3.5311720409469776,6,2
2,0.0002,4.307856328056691,3.6149136865405875,6,2
3,0.00030000000000000003,4.335183999544839,3.6893325168108606,6,2
4,0.0004,4.3621141997196755,3.757556122825087,6,2
5,0.0005,4.38869651367845,3.8210970699161058,6,2
6,0.0006000000000000001,4.414947983771507,3.8808606038258064,6,2
7,0.0007,4.440875343690206,3.937453607816745,6,2
8,0.0008,4.466481666765553,3.9913131812974685,6,2
9,0.0009000000000000001,4.491768767175086,4.042770172506545,6,2
10,0.001,4.516738156649877,4.09208432410693,6,2
11,0.002,4.749440808300612,4.50058568690329,6,2
12,0.003,4.953525922377575,4.809129564108055,6,2
13,0.004,5.132746255967863,5.055441807530016,6,2
14,0.005,5.290677248172592,5.258127535371963,6,2
15,0.006,5.430414115417037,5.428304243378949,6,2
16,0.007,5.55456187562589,5.573310536485129,6,2
17,0.008,5.665296891710587,5.6982998537993765,6,2
18,0.009000000000000001,5.7644381436149,5.807048654334969,6,2
19,0.01,5.853511295292014,5.902412471713683,6,2
20,0.011,5.933802085954477,5.986603307516475,6,2
21,0.012,6.006399619149695,6.061368023040423,6,2
22,0.013000000000000001,6.07223114680078,6.128108122285203,6,2
23,0.014,6.132089997218922,6.187963003686864,6,2
24,0.015,6.186658067895612,6.241869478940741,6,2
25,0.016,6.23652403013474,6.29060533900738,6,2
26,0.017,6.282198147124152,6.334821886066287,6,2
27,0.018000000000000002,6.324124406920971,6.375068645623395,6,2
28,0.019,6.362690515011891,6.4118124192904,6,2
29,0.02,6.398236170308972,6.445452166438202,6,2
