,pfa,h_est_c,h_est_n,cr,br
0,0.0,4.247927513443586,3.423766335194136,8,2
1,0.001,4.839947739442953,4.552189064794343,8,2
2,0.002,5.28150570563805,5.172021252428636,8,2
3,0.003,5.6246195692233645,5.602884493586668,8,2
4,0.004,5.8983044271535965,5.9238654933998625,8,2
5,0.005,6.1211863100224395,6.172937951512022,8,2
6,0.006,6.305737876429537,6.371739273179328,8,2
7,0.007,6.460639470567026,6.5338048231098345,8,2
8,0.008,6.5921333345335285,6.668140532654338,8,2
9,0.009000000000000001,6.70483329648814,6.7810132978468864,8,2
10,0.01,6.8022289032173,6.8769366834120245,8,2
11,0.011,6.887011023586302,6.959251753596661,8,2
12,0.012,6.961289084618091,7.030487684289398,8,2
13,0.013000000000000001,7.026740206090244,7.092595206790882,8,2
14,0.014,7.084714182172319,7.147103008861878,8,2
15,0.015,7.1363090261268045,7.195225577120466,8,2
16,0.016,7.1824263930456675,7.237939397267734,8,2
17,0.017,7.22381293770705,7.276037940307479,8,2
18,0.018000000000000002,7.2610916435735,7.310172072232068,8,2
19,0.019,7.294785872485669,7.340880230943311,8,2
20,0.02,7.3253380461607485,7.368611283182121,8,2
